2gua.rainbow-brackets,0.0.6
alefragnani.project-manager,11.1.0
apollographql.vscode-apollo,1.16.6
mgesbert.python-path,0.0.11
doraemon.vscode-code-runner,1.0.11
MS-vsliveshare.vsliveshare,1.0.2427
MS-vsliveshare.vsliveshare-audio,0.1.85
MS-vsliveshare.vsliveshare-pack,0.4.0
WallabyJs.quokka-vscode,1.0.307
icrawl.discord-vscode,3.14.0
karigari.chat,0.35.0
RandomFractalsInc.vscode-data-preview,2.2.0
RandomFractalsInc.vscode-vega-viewer,9.4.0
hediet.vscode-drawio,1.0.3
nopeslide.vscode-drawio-plugin-rtl,0.0.5
afterschool.depot,1.3.0
